Value	Output
5.993428306022466	185.41097802504223
4.72347139765763	167.43655127516377
6.295377076201385	195.61756906503504
8.046059712816051	299.7136588649341
4.531693250553328	168.22631593650863
4.531726086101639	168.22610201513032
8.158425631014783	309.0117579864971
6.534869458305818	205.33387261238238
4.061051228130096	174.061508995844
6.085120087171929	188.26939418706075
4.0731646143750755	173.8418935927448
4.068540492859486	173.92529591442408
5.483924543132068	173.35650800926095
1.1734395106844042	331.07984275112847
1.5501643349739345	298.77093251822976
3.8754249415180544	177.88573015031696
2.9743377593311524	208.68997250228688
5.628494665190548	176.11744545310404
3.1839518489575784	199.71239933292208
2.175392597329417	252.9803321935239
7.931297537843108	290.5430947715093
4.548447399026928	168.12066568340595
5.1350564093758475	168.84578685159187
2.1505036275730864	254.61638301764634
3.9112345509496347	177.08092957282972
5.2218451794197325	169.68361055146906
2.6980128451553944	222.20317034944352
5.751396036691344	178.87547017105084
3.79872262016239	179.71744521724855
4.416612500413446	169.1416512191591
3.796586775541206	179.7705557846283
8.704556369017876	358.6985145529187
4.973005550524132	167.78547181733086
2.8845781420881993	212.87018786536504
6.645089824206378	210.28737611545841
2.5583127000579555	229.76145179241144
5.4177271900095105	172.26670280298248
1.0806597522404489	339.58138500263357
2.343627902203139	242.3276865033704
5.393722471738247	171.89857972678806
6.476933159990821	202.8518897848525
5.342736562379941	171.1644813511408
4.768703435223519	167.3842861660063
4.3977926088214225	169.322841800634
2.0429560192651453	261.86395488288036
3.5603115832105825	186.3499798490619
4.078722458080425	173.74235769338173
7.114244452437831	234.76974326547594
5.687236579136923	177.38855975665928
1.473919689274532	305.023498496938
5.64816793878959	176.53354715932622
4.229835439167367	171.33199980329204
3.6461559993880828	183.7980975388908
6.2233525776817356	192.97596639527518
7.061999044991902	231.77109879586328
6.862560238232398	220.95167976381305
3.3215649535547227	194.41584789382173
4.381575248297571	169.48607887414897
5.662526862807128	176.84335546029246
6.951090254244718	225.63163819575408
4.04165152430942	174.420866970112
4.628682046672366	167.71198600774545
2.7873300519879436	217.62647736516635
2.6075867518386584	227.03985221717292
6.625051644788396	209.36423533961084
7.712480057141645	273.9699581685455
4.855979756839332	167.42799988807798
7.007065795784048	228.6917805531287
5.723272050095268	178.2110219490582
3.7097604907897512	182.02615794920288
5.722791211016828	178.19983372929906
8.076073132931938	302.166325136449
4.928347921780097	167.60866135645762
8.129287311628012	306.57029498775717
-0.23949020817948874	483.864607010016
6.643805008750448	210.22788464849987
5.174094136476342	169.1993401349346
4.401985299068265	169.28170962142087
5.183521553071005	169.29043275508042
1.0248621707982144	344.7978255700839
4.560656224324976	168.0480979050752
5.7142251430234925	178.00148616540255
7.955788089483033	292.4724823784112
3.9634595634527052	175.96467227569275
3.3830127942136246	192.20369783827582
3.996485912830927	175.29396142581518
6.830804235404148	219.32071109042755
5.657502219319369	176.73435742978543
3.9404795924659224	176.447445495147
6.026534866226712	186.418803478703
5.194155098696081	169.39584611296732
6.937289981065779	224.88922381193217
3.5958938122452953	185.26987749054848
4.3446757068044635	169.88199387694928
4.215783693735685	171.53206061507666
2.072970103735763	259.8122341604376
5.592240554129152	175.37599391663463
5.522110544359778	174.0349878848722
5.010226913284922	167.9709358802598
4.530825733249706	168.2319775165127
